list_date,location,property_type,bedrooms,bathrooms,sqft,price,listing_status
2025-04-15 11:25:22.980901000,"Palm Jumeirah, Dubai",Apartment,2,2.5,1365.0,1565000.0,Active
2025-04-15 15:44:50.548468567,"Al Majaz, Sharjah",Villa,1,3.0,2500.0,2185000.0,Sold
2025-04-15 20:04:18.116036135,"Al Reem Island, Abu Dhabi",Townhouse,4,2.0,2196.0,2995000.0,Pending
2025-04-16 00:23:45.683603702,"Arabian Ranches, Dubai",Villa,1,2.5,2500.0,3305000.0,Active
2025-04-16 04:43:13.251171270,"Downtown Dubai, Dubai",Townhouse,2,2.5,1500.0,2500000.0,Sold
2025-04-16 09:02:40.818738837,"Downtown Dubai, Dubai",Villa,3,3.0,2500.0,4500000.0,Active
2025-04-16 13:22:08.386306405,"Dubai Marina, Dubai",Villa,2,3.5,2500.0,4340000.0,Active
2025-04-16 17:41:35.953873972,"Yas Island, Abu Dhabi",Townhouse,3,1.0,1500.0,2290000.0,Active
2025-04-16 22:01:03.521441540,"Arabian Ranches, Dubai",Apartment,1,2.5,641.0,755000.0,Active
2025-04-17 02:20:31.089009108,"International City, Dubai",Apartment,2,1.0,1131.0,630000.0,Sold
2025-04-17 06:39:58.656576675,"Dubai Marina, Dubai",Apartment,0,2.0,600.0,750000.0,Active
2025-04-17 10:59:26.224144243,"Al Khan, Sharjah",Studio,1,2.0,600.0,315000.0,Active
2025-04-17 15:18:53.791711810,"Al Raha Beach, Abu Dhabi",Penthouse,4,2.0,2027.0,4635000.0,Active
2025-04-17 19:38:21.359279378,"Downtown Dubai, Dubai",Apartment,1,2.0,791.0,1015000.0,Active
2025-04-17 23:57:48.926846945,"Downtown Dubai, Dubai",Villa,2,2.5,2500.0,4070000.0,Active
2025-04-18 04:17:16.494414513,"Downtown Dubai, Dubai",Penthouse,2,2.0,2000.0,5400000.0,Active
2025-04-18 08:36:44.061982081,"Jumeirah Beach Residence, Dubai",Apartment,2,3.0,899.0,1295000.0,Pending
2025-04-18 12:56:11.629549648,"Business Bay, Dubai",Villa,4,2.0,2500.0,3900000.0,Active
2025-04-18 17:15:39.197117216,"Palm Jumeirah, Dubai",Penthouse,0,1.0,2000.0,6175000.0,Pending
2025-04-18 21:35:06.764684783,"Jumeirah Beach Residence, Dubai",Apartment,3,3.0,1449.0,1520000.0,Active
2025-04-19 01:54:34.332252351,"Dubai Silicon Oasis, Dubai",Villa,5,2.0,4182.0,3280000.0,Pending
2025-04-19 06:14:01.899819918,"Dubai Marina, Dubai",Apartment,2,2.0,1203.0,1390000.0,Pending
2025-04-19 10:33:29.467387486,"Jumeirah Beach Residence, Dubai",Penthouse,4,2.5,2989.0,5775000.0,Active
2025-04-19 14:52:57.034955054,"Jumeirah Beach Residence, Dubai",Studio,1,2.0,600.0,500000.0,Active
2025-04-19 19:12:24.602522621,"Business Bay, Dubai",Penthouse,2,1.0,2000.0,5250000.0,Pending
2025-04-19 23:31:52.170090189,"Al Reem Island, Abu Dhabi",Apartment,2,2.0,1033.0,1035000.0,Active
2025-04-20 03:51:19.737657756,"Downtown Dubai, Dubai",Townhouse,3,3.5,1500.0,2555000.0,Sold
2025-04-20 08:10:47.305225324,"Business Bay, Dubai",Townhouse,5,2.5,3000.0,3260000.0,Active
2025-04-20 12:30:14.872792891,"Arabian Ranches, Dubai",Apartment,2,2.5,860.0,950000.0,Active
2025-04-20 16:49:42.440360459,"Dubai Marina, Dubai",Townhouse,3,2.5,1868.0,2530000.0,Active
2025-04-20 21:09:10.007928027,"Arabian Ranches, Dubai",Apartment,1,1.5,833.0,775000.0,Sold
2025-04-21 01:28:37.575495594,"Downtown Dubai, Dubai",Villa,2,2.0,2500.0,3945000.0,Active
2025-04-21 05:48:05.143063162,"Dubai Marina, Dubai",Apartment,2,3.0,1018.0,1295000.0,Pending
2025-04-21 10:07:32.710630729,"Al Majaz, Sharjah",Apartment,5,,2000.0,1150000.0,Pending
2025-04-21 14:27:00.278198297,"Al Khan, Sharjah",Apartment,3,2.0,2000.0,1040000.0,Active
2025-04-21 18:46:27.845765864,"Al Raha Beach, Abu Dhabi",Villa,2,2.0,2500.0,3500000.0,Active
2025-04-21 23:05:55.413333432,"Jumeirah Beach Residence, Dubai",Apartment,1,2.0,600.0,925000.0,Pending
2025-04-22 03:25:22.980901000,"Dubai Marina, Dubai",Villa,1,4.0,2500.0,3525000.0,Active
2025-04-22 07:44:50.548468567,"International City, Dubai",Apartment,1,1.0,806.0,570000.0,Pending
2025-04-22 12:04:18.116036135,"Palm Jumeirah, Dubai",Apartment,2,2.0,723.0,1180000.0,Active
